countryCode,score
ALB,12
ALB,17
ALB,30
ALB,32
ALB,10
ALB,11
ALB,24
ALB,38
ALB,17
ALB,17
ALB,30
ALB,3
ALB,2
ALB,35
ALB,5
ALB,17
ALB,3
ALB,33
ALB,15
ALB,22
ALB,14
ALB,21
ALB,5
ALB,24
ALB,7
ALB,16
ALB,13
ALB,12
ALB,9
ALB,34
ALB,33
ALB,2
ALB,22
ALB,19
ALB,18
ALB,35
ALB,35
ALB,35
ALB,28
ALB,45
ALB,8
ALB,19
ALB,14
ALB,12
ALB,25
ALB,10
ALB,11
ALB,14
ALB,14
ALB,21
ALB,29
ALB,9
ALB,12
ALB,16
ALB,14
ALB,9
ALB,42
ALB,11
ALB,19
ALB,19
ALB,17
ALB,17
ALB,6
ALB,0
ALB,28
ALB,10
ALB,18
ALB,13
ALB,23
ALB,5
ALB,14
ALB,15
ALB,29
ALB,31
ALB,34
ALB,0
ALB,33
ALB,24
ALB,5
ALB,19
ALB,16
ALB,10
ALB,28
ALB,24
ALB,24
ALB,10
ALB,0
ALB,5
ALB,21
ALB,8
ALB,21
ALB,19
ALB,41
ALB,4
ALB,35
ALB,7
ALB,24
ALB,32
ALB,1
ALB,22
ALB,25
ALB,30
ALB,26
ALB,10
ALB,10
ALB,27
ALB,31
ALB,11
ALB,17
ALB,0
ALB,12
ALB,20
ALB,37
ALB,16
ALB,38
ALB,21
ALB,22
ALB,33
ALB,19
ALB,6
ALB,5
ALB,22
ALB,35
ALB,8
ALB,16
ALB,10
ALB,14
ALB,38
ALB,22
ALB,3
ALB,36
ALB,15
ALB,2
ALB,16
ALB,17
ALB,6
ALB,38
ALB,14
ALB,13
ALB,7
ALB,5
ALB,44
ALB,11
ALB,5
ALB,25
ALB,32
ALB,16
ALB,5
ALB,12
ALB,19
ALB,12
ALB,4
ALB,9
ALB,14
ALB,22
ALB,0
ALB,4
ALB,29
ALB,16
ALB,26
ALB,0
ALB,24
ALB,6
ALB,20
ALB,6
ALB,7
ALB,8
ALB,5
ALB,16
ALB,6
ALB,10
ALB,8
ALB,0
ALB,25
ALB,15
ALB,18
ALB,6
ALB,7
ALB,33
ALB,21
ALB,26
ALB,17
ALB,4
ALB,12
ALB,20
ALB,33
ALB,7
ALB,8
ALB,9
ALB,12
ALB,41
ALB,18
ALB,28
ALB,26
ALB,9
ALB,22
ALB,19
ALB,30
ALB,28
ALB,5
ALB,21
ALB,46
ALB,6
ALB,28
ALB,25
ALB,5
ALB,14
ALB,32
ALB,29
ALB,31
ALB,34
ALB,36
ALB,11
ALB,9
ALB,41
ALB,10
ALB,44
ALB,15
ALB,32
ALB,39
ALB,38
ALB,11
ALB,9
ALB,8
ALB,13
ALB,16
ALB,11
ALB,22
ALB,10
ALB,27
ALB,40
ALB,25
ALB,30
ALB,15
ALB,30
ALB,29
ALB,26
ALB,18
ALB,5
ALB,19
ALB,22
ALB,9
ALB,9
ALB,18
ALB,13
ALB,31
ALB,38
ALB,15
ALB,24
ALB,16
ALB,10
ALB,1
ALB,13
ALB,13
ALB,10
ALB,19
ALB,16
ALB,4
ALB,7
ALB,29
ALB,11
ALB,34
ALB,25
ALB,7
ALB,12
ALB,21
ALB,11
ALB,37
ALB,5
ALB,22
ALB,16
ALB,30
ALB,24
ALB,40
ALB,10
ALB,13
ALB,10
ALB,25
ALB,24
ALB,20
ALB,13
ALB,15
ALB,19
ALB,10
ALB,31
ALB,38
ALB,11
ALB,23
ALB,11
ALB,24
ALB,13
ALB,23
ALB,13
ALB,26
ALB,5
ALB,11
ALB,13
ALB,23
ALB,9
ALB,25
ALB,12
ALB,14
ALB,21
ALB,24
ALB,7
ALB,18
ALB,17
ALB,12
ALB,32
ALB,11
ALB,25
ALB,13
ALB,20
ALB,0
ALB,0
ALB,14
ALB,12
ALB,0
ALB,32
ALB,8
ALB,19
ALB,29
ALB,14
ALB,13
ALB,18
ALB,4
ALB,20
ALB,26
ALB,8
ALB,14
ALB,8
ALB,26
ALB,19
ALB,14
ALB,21
ALB,26
ALB,13
ALB,10
ALB,15
ALB,14
ALB,44
ALB,38
ALB,20
ALB,9
ALB,11
ALB,13
ALB,20
ALB,7
ALB,37
ALB,13
ALB,15
ALB,9
ALB,10
ALB,32
ALB,30
ALB,8
ALB,18
ALB,20
ALB,19
ALB,34
ALB,14
ALB,13
ALB,4
ALB,15
ALB,22
ALB,28
ALB,18
ALB,21
ALB,10
ALB,25
ALB,15
ALB,13
ALB,18
ALB,45
ALB,10
ALB,5
ALB,25
ALB,13
ALB,17
ALB,19
ALB,13
ALB,3
ALB,17
ALB,19
ALB,15
ALB,8
ALB,9
ALB,19
ALB,13
ALB,17
ALB,33
ALB,13
ALB,19
ALB,16
ALB,28
ALB,5
ALB,9
ALB,28
ALB,29
ALB,23
ALB,4
ALB,14
ALB,19
ALB,20
ALB,17
ALB,0
ALB,20
ALB,25
ALB,9
ALB,34
ALB,11
ALB,15
ALB,0
ALB,12
ALB,22
ALB,33
ALB,24
ALB,11
ALB,11
ALB,4
ALB,17
ALB,19
ALB,7
ALB,7
ALB,22
ALB,0
ALB,31
ALB,16
ALB,8
ALB,15
ALB,16
ALB,14
ALB,36
ALB,5
ALB,21
ALB,18
ALB,15
ALB,25
ALB,0
ALB,34
ALB,33
ALB,19
ALB,19
ALB,13
ALB,17
ALB,22
ALB,9
ALB,21
ALB,20
ALB,6
ALB,10
ALB,14
ALB,17
ALB,1
ALB,0
ALB,14
ALB,18
ALB,41
ALB,14
ALB,13
ALB,6
ALB,18
ALB,7
ALB,21
ALB,16
ALB,7
ALB,22
ALB,8
ALB,4
ALB,12
ALB,28
ALB,15
ALB,12
ALB,15
ALB,17
ALB,8
ALB,31
ALB,15
ALB,17
ALB,34
ALB,33
ALB,16
ALB,38
ALB,15
ALB,25
ALB,19
ALB,39
ALB,29
ALB,33
ALB,5
ALB,22
ALB,43
ALB,20
ALB,9
ALB,24
ALB,42
ALB,5
ALB,47
ALB,24
ALB,50
ALB,21
ALB,36
ALB,12
ALB,19
ALB,30
ALB,12
ALB,21
ALB,12
ALB,12
ALB,17
ALB,21
ALB,16
ALB,30
ALB,9
ALB,19
ALB,19
ALB,7
ALB,29
ALB,29
ALB,22
ALB,28
ALB,29
ALB,26
ALB,30
ALB,11
ALB,24
ALB,15
ALB,25
ALB,24
ALB,10
ALB,18
ALB,42
ALB,35
ALB,22
ALB,33
ALB,2
ALB,10
ALB,23
ALB,19
ALB,15
ALB,24
ALB,7
ALB,31
ALB,0
ALB,24
ALB,32
ALB,7
ALB,11
ALB,16
ALB,23
ALB,9
ALB,4
ALB,25
ALB,4
ALB,7
ALB,25
ALB,18
ALB,34
ALB,42
ALB,15
ALB,24
ALB,29
ALB,16
ALB,17
ALB,11
ALB,11
ALB,23
ALB,27
ALB,11
ALB,25
ALB,10
ALB,25
ALB,36
ALB,13
ALB,18
ALB,14
ALB,39
ALB,19
ALB,16
ALB,21
ALB,20
ALB,29
ALB,11
ALB,0
ALB,13
ALB,23
ALB,7
ALB,10
ALB,19
ALB,25
ALB,20
ALB,23
ALB,25
ALB,22
ALB,33
ALB,19
ALB,23
ALB,19
ALB,7
ALB,32
ALB,25
ALB,5
ALB,30
ALB,14
ALB,24
ALB,10
ALB,20
ALB,25
ALB,16
ALB,14
ALB,19
ALB,23
ALB,25
ALB,30
ALB,30
ALB,14
ALB,22
ALB,6
ALB,24
ALB,21
ALB,16
ALB,23
ALB,0
ALB,25
ALB,19
ALB,13
ALB,25
ALB,19
ALB,26
ALB,29
ALB,12
ALB,35
ALB,27
ALB,29
ALB,23
ALB,6
ALB,13
ALB,19
ALB,26
ALB,7
ALB,18
ALB,10
ALB,21
ALB,7
ALB,20
ALB,13
ALB,39
ALB,15
ALB,1
ALB,13
ALB,21
ALB,17
ALB,10
ALB,15
ALB,13
ALB,17
ALB,10
ALB,38
ALB,20
ALB,17
ALB,15
ALB,26
ALB,14
ALB,13
ALB,14
ALB,22
ALB,43
ALB,28
ALB,30
ALB,5
ALB,20
ALB,36
ALB,17
ALB,13
ALB,6
ALB,5
ALB,21
ALB,11
ALB,15
ALB,14
ALB,4
ALB,31
ALB,4
ALB,24
ALB,7
ALB,13
ALB,23
ALB,23
ALB,21
ALB,22
ALB,1
ALB,6
ALB,14
ALB,16
ALB,29
ALB,13
ALB,4
ALB,5
ALB,24
ALB,10
ALB,21
ALB,18
ALB,12
ALB,8
ALB,23
ALB,12
ALB,13
ALB,22
ALB,28
ALB,11
ALB,46
ALB,19
ALB,30
ALB,17
ALB,29
ALB,26
ALB,17
ALB,18
ALB,9
ALB,43
ALB,10
ALB,0
ALB,11
ALB,0
ALB,12
ALB,27
ALB,23
ALB,0
ALB,20
ALB,11
ALB,4
ALB,31
ALB,0
ALB,0
ALB,0
ALB,12
ALB,15
ALB,0
ALB,6
ALB,14
ALB,13
ALB,33
ALB,13
ALB,10
ALB,5
ALB,30
ALB,14
ALB,0
ALB,42
ALB,33
ALB,0
ALB,7
ALB,24
ALB,8
ALB,41
ALB,14
ALB,9
ALB,21
ALB,34
ALB,9
ALB,24
ALB,12
ALB,25
ALB,40
ALB,31
ALB,17
ALB,9
ALB,10
ALB,25
ALB,21
ALB,18
ALB,0
ALB,26
ALB,24
ALB,22
ALB,39
ALB,16
ALB,16
ALB,21
ALB,47
ALB,28
ALB,19
ALB,26
ALB,9
ALB,7
ALB,5
ALB,21
ALB,18
ALB,36
ALB,21
ALB,26
ALB,23
ALB,9
ALB,12
ALB,17
ALB,12
ALB,9
ALB,20
ALB,15
ALB,13
ALB,4
ALB,17
ALB,9
ALB,26
ALB,16
ALB,6
ALB,13
ALB,12
ALB,7
ALB,3
ALB,6
ALB,41
ALB,14
ALB,16
ALB,18
ALB,23
ALB,6
ALB,12
ALB,21
ALB,18
ALB,8
ALB,3
ALB,3
ALB,8
ALB,9
ALB,4
ALB,33
ALB,24
ALB,5
ALB,24
ALB,17
ALB,52
ALB,20
ALB,17
ALB,17
ALB,21
ALB,23
ALB,15
ALB,36
ALB,21
ALB,38
ALB,28
ALB,13
ALB,25
ALB,30
ALB,21
ALB,30
ALB,13
ALB,12
ALB,7
ALB,23
ALB,16
ALB,41
ALB,23
ALB,18
ALB,7
ALB,18
ALB,35
ALB,23
ALB,8
ALB,4
ALB,17
ALB,29
ALB,7
ALB,21
ALB,6
ALB,19
ALB,25
ALB,20
ALB,28
ALB,11
ALB,6
ALB,8
ALB,21
ALB,5
ALB,30
ALB,10
ALB,36
ALB,18
ALB,0
ALB,38
ALB,10
ALB,22
ALB,14
ALB,18
ALB,11
ALB,16
ALB,16
ALB,3
ALB,22
ALB,12
ALB,6
ALB,31
ALB,10
ALB,26
ALB,12
ALB,48
ALB,2
ALB,25
ALB,19
ALB,14
ALB,8
ALB,14
ALB,9
ALB,17
ALB,13
ALB,13
ALB,0
ALB,26
ALB,7
ALB,12
ALB,7
ALB,37
ALB,26
ALB,12
ALB,30
ALB,18
ALB,17
ALB,11
ALB,28
ALB,24
ALB,23
ALB,10
ALB,33
ALB,41
ALB,32
ALB,15
ALB,16
ALB,21
ALB,32
ALB,47
ALB,8
ALB,27
ALB,20
ALB,25
ALB,19
ALB,32
ALB,31
ALB,21
ALB,31
ALB,22
ALB,10
ALB,23
ALB,8
ALB,17
ALB,25
ALB,20
ALB,18
ALB,18
