country,Channel,average_score
Albania,Mathematics,7.28
United Arab Emirates,Mathematics,9.45
Argentina,Mathematics,7.51
Australia,Mathematics,12.54
Austria,Mathematics,13.32
Belgium,Mathematics,14.07
Bulgaria,Mathematics,10.18
Brazil,Mathematics,6.63
Canada,Mathematics,13.45
Switzerland,Mathematics,14.17
Chile,Mathematics,10.07
Colombia,Mathematics,6.91
Costa Rica,Mathematics,7.51
Czech Republic,Mathematics,14.11
Germany,Mathematics,13.55
Denmark,Mathematics,12.01
Spain,Mathematics,12.71
Estonia,Mathematics,14.39
Finland,Mathematics,13.34
France,Mathematics,12.81
United Kingdom,Mathematics,12.34
Greece,Mathematics,10.22
Hong Kong-China,Mathematics,16.31
Croatia,Mathematics,11.17
Hungary,Mathematics,12.07
Indonesia,Mathematics,5.99
Ireland,Mathematics,12.97
Iceland,Mathematics,12.60
Israel,Mathematics,11.31
Italy,Mathematics,12.57
Jordan,Mathematics,6.51
Japan,Mathematics,15.21
Kazakhstan,Mathematics,9.28
Korea,Mathematics,16.28
Liechtenstein,Mathematics,15.50
Lithuania,Mathematics,11.72
Luxembourg,Mathematics,12.39
Latvia,Mathematics,12.72
Macao-China,Mathematics,15.34
Mexico,Mathematics,8.53
Montenegro,Mathematics,7.60
Malaysia,Mathematics,8.35
Netherlands,Mathematics,14.16
Norway,Mathematics,12.25
New Zealand,Mathematics,12.98
Peru,Mathematics,6.12
Poland,Mathematics,14.24
Portugal,Mathematics,11.94
Qatar,Mathematics,6.47
China-Shanghai,Mathematics,19.69
Perm(Russian Federation),Mathematics,12.09
Florida (USA),Mathematics,10.79
Connecticut (USA),Mathematics,13.14
Massachusetts (USA),Mathematics,13.40
Romania,Mathematics,10.25
Russian Federation,Mathematics,12.04
Singapore,Mathematics,17.10
Serbia,Mathematics,10.31
Slovak Republic,Mathematics,12.13
Slovenia,Mathematics,11.88
Sweden,Mathematics,11.58
Chinese Taipei,Mathematics,16.43
Thailand,Mathematics,9.50
Tunisia,Mathematics,7.03
Turkey,Mathematics,9.93
Uruguay,Mathematics,8.28
United States of America,Mathematics,11.94
Vietnam,Mathematics,14.16
