country,Channel,average_score
Albania,Science,5.53
United Arab Emirates,Science,7.05
Argentina,Science,5.85
Australia,Science,9.44
Austria,Science,9.24
Belgium,Science,9.23
Bulgaria,Science,7.33
Brazil,Science,5.13
Canada,Science,9.49
Switzerland,Science,9.07
Chile,Science,7.70
Colombia,Science,5.60
Costa Rica,Science,6.24
Czech Republic,Science,9.93
Germany,Science,9.71
Denmark,Science,8.41
Spain,Science,9.12
Estonia,Science,10.43
Finland,Science,10.00
France,Science,9.03
United Kingdom,Science,9.37
Greece,Science,7.85
Hong Kong-China,Science,10.78
Croatia,Science,8.61
Hungary,Science,8.99
Indonesia,Science,4.84
Ireland,Science,9.85
Iceland,Science,8.19
Israel,Science,7.98
Italy,Science,8.93
Jordan,Science,5.64
Japan,Science,10.67
Kazakhstan,Science,6.34
Korea,Science,10.42
Liechtenstein,Science,9.69
Lithuania,Science,8.83
Luxembourg,Science,8.61
Latvia,Science,9.16
Macao-China,Science,9.76
Mexico,Science,5.96
Montenegro,Science,5.73
Malaysia,Science,6.12
Netherlands,Science,9.51
Norway,Science,8.73
New Zealand,Science,9.60
Peru,Science,4.61
Poland,Science,9.84
Portugal,Science,8.52
Qatar,Science,5.13
China-Shanghai,Science,11.74
Perm(Russian Federation),Science,8.28
Florida (USA),Science,8.46
Connecticut (USA),Science,9.51
Massachusetts (USA),Science,9.58
Romania,Science,6.72
Russian Federation,Science,8.39
Singapore,Science,10.59
Serbia,Science,6.91
Slovak Republic,Science,8.16
Slovenia,Science,8.80
Sweden,Science,8.55
Chinese Taipei,Science,9.89
Thailand,Science,7.46
Tunisia,Science,5.30
Turkey,Science,7.68
Uruguay,Science,6.14
United States of America,Science,8.74
Vietnam,Science,10.13
