ISO,average_score
ALB,7.28
ARE,9.45
ARG,7.51
AUS,12.54
AUT,13.32
BEL,14.07
BGR,10.18
BRA,6.63
CAN,13.45
CHE,14.17
CHL,10.07
COL,6.91
CRI,7.51
CZE,14.11
DEU,13.55
DNK,12.01
ESP,12.71
EST,14.39
FIN,13.34
FRA,12.81
GBR,12.34
GRC,10.22
HKG,16.31
HRV,11.17
HUN,12.07
IDN,5.99
IRL,12.97
ISL,12.60
ISR,11.31
ITA,12.57
JOR,6.51
JPN,15.21
KAZ,9.28
KOR,16.28
LIE,15.50
LTU,11.72
LUX,12.39
LVA,12.72
MAC,15.34
MEX,8.53
MNE,7.60
MYS,8.35
NLD,14.16
NOR,12.25
NZL,12.98
PER,6.12
POL,14.24
PRT,11.94
QAT,6.47
QCN,19.69
QRS,12.09
QUA,10.79
QUB,13.14
QUC,13.40
ROU,10.25
RUS,12.04
SGP,17.10
SRB,10.31
SVK,12.13
SVN,11.88
SWE,11.58
TAP,16.43
THA,9.50
TUN,7.03
TUR,9.93
URY,8.28
USA,11.94
VNM,14.16
