ISO,average_score
ALB,5.26
ARE,6.41
ARG,5.46
AUS,8.17
AUT,7.96
BEL,8.35
BGR,6.59
BRA,5.24
CAN,8.50
CHE,8.11
CHL,6.99
COL,5.60
CRI,6.31
CZE,8.55
DEU,8.32
DNK,7.76
ESP,8.03
EST,8.67
FIN,7.88
FRA,8.40
GBR,8.18
GRC,7.43
HKG,9.16
HRV,7.76
HUN,8.03
IDN,5.14
IRL,8.82
ISL,7.26
ISR,7.67
ITA,8.05
JOR,5.26
JPN,9.18
KAZ,5.16
KOR,9.27
LIE,8.73
LTU,7.59
LUX,7.81
LVA,8.11
MAC,8.52
MEX,6.12
MNE,5.90
MYS,5.35
NLD,8.31
NOR,8.27
NZL,8.66
PER,4.85
POL,8.77
PRT,7.80
QAT,5.11
QCN,10.06
QRS,7.75
QUA,8.01
QUB,8.78
QUC,8.82
ROU,6.38
RUS,7.40
SGP,9.09
SRB,6.61
SVK,7.28
SVN,7.16
SWE,7.73
TAP,8.85
THA,6.83
TUN,5.40
TUR,7.55
URY,5.67
USA,8.16
VNM,8.33
