ISO,average_score
ALB,5.53
ARE,7.05
ARG,5.85
AUS,9.44
AUT,9.24
BEL,9.23
BGR,7.33
BRA,5.13
CAN,9.49
CHE,9.07
CHL,7.70
COL,5.60
CRI,6.24
CZE,9.93
DEU,9.71
DNK,8.41
ESP,9.12
EST,10.43
FIN,10.00
FRA,9.03
GBR,9.37
GRC,7.85
HKG,10.78
HRV,8.61
HUN,8.99
IDN,4.84
IRL,9.85
ISL,8.19
ISR,7.98
ITA,8.93
JOR,5.64
JPN,10.67
KAZ,6.34
KOR,10.42
LIE,9.69
LTU,8.83
LUX,8.61
LVA,9.16
MAC,9.76
MEX,5.96
MNE,5.73
MYS,6.12
NLD,9.51
NOR,8.73
NZL,9.60
PER,4.61
POL,9.84
PRT,8.52
QAT,5.13
QCN,11.74
QRS,8.28
QUA,8.46
QUB,9.51
QUC,9.58
ROU,6.72
RUS,8.39
SGP,10.59
SRB,6.91
SVK,8.16
SVN,8.80
SWE,8.55
TAP,9.89
THA,7.46
TUN,5.30
TUR,7.68
URY,6.14
USA,8.74
VNM,10.13
