Country,CellularPhones,Televisions,Computers,Cars,RoomsWithABathOrShower
Albania,2.37,1.74,.78,.61,.99
United Arab Emirates,2.76,2.26,2.26,2.08,2.08
Argentina,2.71,2.19,1.49,.73,1.11
Australia,2.82,2.49,2.38,2.09,1.65
Austria,2.89,2.30,2.23,1.77,1.54
Belgium,2.86,2.21,2.35,1.67,1.38
Bulgaria,2.67,2.29,1.61,1.26,1.25
Brazil,2.52,1.79,.94,.64,1.27
Canada,2.58,2.54,2.28,2.03,1.93
Switzerland,2.84,1.92,2.38,1.61,1.66
Chile,2.80,2.46,1.77,1.03,1.51
Colombia,2.49,2.04,.99,.31,.79
Costa Rica,2.60,2.04,1.16,.76,.45
Czech Republic,2.93,2.12,2.11,1.48,1.38
Germany,2.41,1.99,2.01,1.43,1.36
Denmark,2.90,2.60,2.71,1.37,1.44
Spain,2.86,2.38,2.02,1.61,1.68
Estonia,2.89,2.08,2.09,1.36,1.21
Finland,2.89,2.25,2.39,1.60,1.44
France,2.71,2.21,2.20,1.77,1.41
United Kingdom,2.89,2.69,2.23,1.66,1.65
Greece,2.87,2.32,1.64,1.59,1.55
Hong Kong-China,2.73,1.63,1.93,.27,1.16
Croatia,2.60,2.17,1.62,1.38,1.38
Hungary,2.88,2.31,1.78,1.10,1.27
Indonesia,2.12,1.21,.32,.20,.25
Ireland,2.93,2.64,2.05,1.79,2.09
Iceland,2.83,2.33,2.56,1.69,1.28
Israel,2.74,2.02,2.07,1.40,.00
Italy,2.84,2.46,1.94,1.85,1.83
Jordan,2.65,1.64,1.30,1.08,1.22
Japan,2.83,2.13,1.51,1.77,1.02
Kazakhstan,2.67,1.64,.87,.84,.70
Korea,2.87,1.50,1.50,1.21,1.45
Liechtenstein,2.90,2.32,2.49,1.88,1.89
Lithuania,2.92,2.17,1.63,1.40,1.14
Luxembourg,2.89,2.42,2.38,1.88,1.75
Latvia,2.82,1.90,1.70,1.14,1.11
Macao-China,2.78,1.98,1.86,.99,1.31
Mexico,2.31,2.00,.95,.93,1.09
Montenegro,2.86,1.89,1.36,1.29,1.30
Malaysia,2.53,1.53,1.19,1.30,1.03
Netherlands,2.90,2.51,2.57,1.59,1.21
Norway,2.87,2.38,2.73,1.77,1.68
New Zealand,2.81,2.34,2.07,2.05,1.69
Peru,2.10,1.71,.72,.29,1.04
Poland,2.90,2.04,1.80,1.44,1.46
Portugal,2.85,2.52,2.07,1.58,1.75
Qatar,2.60,2.21,2.28,2.11,2.12
China-Shanghai,2.84,2.04,1.54,.58,1.24
Perm(Russian Federation),2.86,2.02,1.37,.87,.87
Florida (USA),2.74,2.73,1.97,2.02,1.99
Connecticut (USA),2.82,2.72,2.26,2.18,1.82
Massachusetts (USA),2.82,2.68,2.20,2.05,1.72
Romania,2.57,2.02,1.28,.88,1.01
Russian Federation,2.85,2.03,1.40,.95,.94
Singapore,2.84,2.02,2.18,.74,1.68
Serbia,2.68,2.14,1.41,1.07,1.38
Slovak Republic,2.85,2.02,1.79,1.23,1.27
Slovenia,2.90,2.07,2.19,1.95,1.62
Sweden,2.89,2.48,2.62,1.67,1.84
Chinese Taipei,2.84,1.98,1.91,1.22,1.10
Thailand,2.54,1.86,1.07,1.18,1.12
Tunisia,1.91,1.46,.81,.55,1.19
Turkey,2.62,1.49,.91,.66,.69
Uruguay,2.74,2.27,1.54,.64,1.13
United States of America,2.75,2.67,1.97,2.21,1.93
Vietnam,2.41,1.36,.45,.13,.78
