Country,Mathematics,Reading,Science
Albania,0.06,0.12,0.10
United Arab Emirates,0.08,0.14,0.13
Argentina,0.06,0.12,0.10
Australia,0.10,0.18,0.17
Austria,0.11,0.18,0.17
Belgium,0.12,0.19,0.16
Bulgaria,0.08,0.15,0.13
Brazil,0.06,0.12,0.09
Canada,0.11,0.19,0.17
Switzerland,0.12,0.18,0.16
Chile,0.08,0.16,0.14
Colombia,0.06,0.12,0.10
Costa Rica,0.06,0.14,0.11
Czech Republic,0.12,0.19,0.18
Germany,0.11,0.18,0.17
Denmark,0.10,0.17,0.15
Spain,0.11,0.18,0.16
Estonia,0.12,0.19,0.19
Finland,0.11,0.18,0.18
France,0.11,0.19,0.16
United Kingdom,0.10,0.18,0.17
Greece,0.09,0.17,0.14
Hong Kong-China,0.14,0.20,0.19
Croatia,0.09,0.17,0.15
Hungary,0.10,0.18,0.16
Indonesia,0.05,0.11,0.09
Ireland,0.11,0.20,0.18
Iceland,0.10,0.16,0.15
Israel,0.09,0.17,0.14
Italy,0.10,0.18,0.16
Jordan,0.05,0.12,0.10
Japan,0.13,0.20,0.19
Kazakhstan,0.08,0.11,0.11
Korea,0.14,0.21,0.19
Liechtenstein,0.13,0.19,0.17
Lithuania,0.10,0.17,0.16
Luxembourg,0.10,0.17,0.15
Latvia,0.11,0.18,0.16
Macao-China,0.13,0.19,0.17
Mexico,0.07,0.14,0.11
Montenegro,0.06,0.13,0.10
Malaysia,0.07,0.12,0.11
Netherlands,0.12,0.18,0.17
Norway,0.10,0.18,0.16
New Zealand,0.11,0.19,0.17
Peru,0.05,0.11,0.08
Poland,0.12,0.19,0.18
Portugal,0.10,0.17,0.15
Qatar,0.05,0.11,0.09
China-Shanghai,0.16,0.22,0.21
Perm(Russian Federation),0.10,0.17,0.15
Florida (USA),0.09,0.18,0.15
Connecticut (USA),0.11,0.20,0.17
Massachusetts (USA),0.11,0.20,0.17
Romania,0.09,0.14,0.12
Russian Federation,0.10,0.16,0.15
Singapore,0.14,0.20,0.19
Serbia,0.09,0.15,0.12
Slovak Republic,0.10,0.16,0.15
Slovenia,0.10,0.16,0.16
Sweden,0.10,0.17,0.15
Chinese Taipei,0.14,0.20,0.18
Thailand,0.08,0.15,0.13
Tunisia,0.06,0.12,0.09
Turkey,0.08,0.17,0.14
Uruguay,0.07,0.13,0.11
United States of America,0.10,0.18,0.16
Vietnam,0.12,0.19,0.18
